,Country_of_Origin,Farm_Name,Mill,Company,Region,Producer,Number_of_Bags,Bag_Weight,In-Country_Partner,Owner,Variety,Processing_Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Overall,Total_Cup_Points,Moisture_Percentage,Category_One_Defects,Quakers,Color,Category_Two_Defects
292,Thailand,"doi chaang coffee original co.,ltd",premium grade a,Other,"doi chaang village, chiang rai, thialand",Doi Chaang Community Enterprise Piko,175,50.0,Specialty Coffee Association,Doi Chaang Coffee Company,Other,Other,7.75,7.75,7.58,8.0,7.67,7.58,10.0,10.0,10.0,7.5,83.83,0.11,0,0.0,other,2
293,Thailand,doi tung development project,Other,Other,Other,Other,1,60.0,Specialty Coffee Association,Doi Tung Development Project,Other,Other,7.5,7.83,7.58,7.58,7.75,7.83,10.0,10.0,10.0,7.75,83.83,0.11,0,0.0,other,0
294,Ethiopia,"phone number | 0911-51-08-01, email | at",Other,Other,sidamo,Contact name | ATO Teshome Belamo,300,6.0,Ethiopia Commodity Exchange,Ethiopia Commodity Exchange,Other,Other,7.58,7.83,7.58,8.0,7.83,7.5,10.0,10.0,10.0,7.5,83.83,0.1,0,0.0,other,3
295,Kenya,Other,sasini mills,taylor winch (coffee) ltd,nyeri,KAROGOTO,200,60.0,Kenya Coffee Traders Association,Kennedy Macharia,SL28,Washed / Wet,7.75,7.58,7.5,7.58,7.75,7.75,10.0,10.0,10.0,7.83,83.75,0.11,0,0.0,green,2
296,Brazil,fazenda capoeirnha,dry mill,ipanema coffees,south of minas,Ipanema Agricola S.A,320,60.0,Brazil Specialty Coffee Association,Ipanema Coffees,Bourbon,Natural / Dry,7.67,7.67,7.58,7.75,7.67,7.67,10.0,10.0,10.0,7.75,83.75,0.11,0,0.0,green,5
297,Colombia,Other,neiva,carcafe ltda,huila,FRANKLIN DUSSAN / HIPOLITO TORRES,275,70.0,Almacafé,CARCAFE LTDA CI,Caturra,Washed / Wet,7.83,7.83,7.58,7.58,7.58,7.58,10.0,10.0,10.0,7.75,83.75,0.11,0,0.0,green,1
298,Taiwan,崁頭山咖啡館 (kan tou mountain coffee),崁頭山咖啡館 (kan tou mountain coffee),taiwan coffee laboratory,"台南市東山區 (dongshan dist., tainan city)",曾如楓 & 郭俊宏 (Tseng Ju Feng & Kuo Jun Hong),10,10.0,Specialty Coffee Association,"Lin, Che-Hao Krude 林哲豪",Typica,Natural / Dry,7.67,7.67,7.58,7.58,7.67,7.83,10.0,10.0,10.0,7.75,83.75,0.11,0,0.0,green,0
299,Colombia,Other,bachue,racafe & cia s.c.a,huila,La Plata,275,70.0,Almacafé,Racafe & Cia S.C.A,Other,Washed / Wet,7.92,7.75,7.5,7.67,7.75,7.5,10.0,10.0,10.0,7.67,83.75,0.11,1,0.0,green,4
300,China,pu’er specialty coffee cupping center,pu’er specialty coffee cupping center,yunnan coffee exchange,yunnan,Pu’er Specialty Coffee Cupping Center,3,60.0,Yunnan Coffee Exchange,Yunnan Coffee Exchange,Catimor,Washed / Wet,7.83,7.75,7.67,7.5,7.58,7.67,10.0,10.0,10.0,7.75,83.75,0.1,0,1.0,green,2
301,Colombia,Other,neiva,carcafe ltda,huila,FRANKLIN DUSSAN,250,70.0,Almacafé,CARCAFE LTDA CI,Caturra,Natural / Dry,7.75,7.67,7.5,7.67,7.58,7.83,10.0,10.0,10.0,7.75,83.75,0.11,0,0.0,green,0
302,Uganda,erussi farmers group,nile highland arabica coffee farmers,nile highlands arabica coffee farmers,west nile,Nile Highland Arabica Coffee Farmers,320,60.0,Uganda Coffee Development Authority,Nile Highland Arabica Coffee Farmers,Bourbon,Natural / Dry,8.0,7.92,7.58,7.75,7.33,7.5,10.0,10.0,10.0,7.67,83.75,0.12,0,0.0,green,0
303,Other,hacienda caracolillo,hacienda alto grande,"hacienda alto grande, llc.",yauco region,Hacienda Alto Grande,18,2.26796,Specialty Coffee Association,German Negron,Other,Washed / Wet,7.83,7.83,7.83,7.67,8.0,8.17,9.33,9.33,10.0,7.75,83.75,0.12,0,0.0,green,1
304,Colombia,Other,Other,racafe & cia s.c.a,huila,La Plata,100,70.0,Almacafé,Racafe & Cia S.C.A,Caturra,Washed / Wet,7.67,7.67,7.67,7.92,7.5,7.67,10.0,10.0,10.0,7.67,83.75,0.11,0,0.0,green,5
305,Colombia,Other,trilladora asia,olam international ltd,huila,Other,250,70.0,Almacafé,Olam Agro Colombia,Other,Washed / Wet,7.67,7.42,7.42,7.42,8.0,8.33,10.0,10.0,10.0,7.5,83.75,0.11,0,0.0,green,3
306,Colombia,Other,bonanza - armenia,exportadora de cafe condor s.a,huila,Other,250,70.0,Almacafé,Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.58,7.67,7.75,7.67,7.67,7.67,10.0,10.0,10.0,7.75,83.75,0.11,0,0.0,blue-green,1
307,Colombia,Other,trilladora boananza,exportadora de cafe condor s.a,huila,Other,275,70.0,Almacafé,Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.75,7.67,7.75,7.58,7.42,8.0,10.0,10.0,10.0,7.58,83.75,0.11,0,0.0,green,3
308,United States (Hawaii),Other,Other,kona pacific farmers cooperative,kona,Other,12,45.3592,Specialty Coffee Association,Kona Pacific Farmers Cooperative,Hawaiian Kona,Natural / Dry,7.25,7.42,7.67,7.58,7.83,8.25,10.0,10.0,10.0,7.75,83.75,0.11,0,0.0,blue-green,0
309,Mexico,naranjal,en ahuatitlan,Other,"huazalingo, hidalgo","MARTINEZ MAGDALENA, AGAPITA",10,1.0,AMECAFE,SAUL M. HERNANDEZ RAMIREZ,Caturra,Natural / Dry,7.83,7.58,7.58,7.5,7.75,7.67,10.0,10.0,10.0,7.83,83.75,0.13,5,0.0,other,5
310,Guatemala,several farms,florencia,the coffee source inc.,quetzaltenango,Several producres,250,1.360776,Specialty Coffee Association,The Coffee Source Inc.,Caturra,Washed / Wet,7.67,7.58,7.58,7.67,7.75,7.75,10.0,10.0,10.0,7.75,83.75,0.11,0,0.0,blue-green,1
311,Colombia,Other,Other,Other,cauca,Carlos Peneche/Jesus Peneche/Flor Chacón,275,70.0,Almacafé,CARCAFE LTDA CI,Other,Other,7.83,7.83,7.58,7.33,7.42,7.67,10.0,10.0,10.0,8.08,83.75,0.1,0,0.0,other,1
312,Colombia,Other,trilladora boananza,Other,cundinamarca,Other,250,70.0,Almacafé,Exportadora de Cafe Condor S.A,Other,Other,7.75,7.67,7.25,7.25,7.58,8.5,10.0,10.0,10.0,7.75,83.75,0.11,0,0.0,other,1
313,United States (Hawaii),Other,Other,Other,kona,Other,4,1.0,Specialty Coffee Association,Kona Pacific Farmers Cooperative,Other,Other,7.83,7.67,7.75,7.67,7.58,7.5,10.0,10.0,10.0,7.75,83.75,0.11,0,0.0,other,0
314,Brazil,fazenda capoeirnha,dry mill,ipanema coffees,south of minas,Ipanema Agricola S.A,320,60.0,Brazil Specialty Coffee Association,Ipanema Coffees,Bourbon,Natural / Dry,7.67,7.83,7.5,7.67,7.67,7.5,10.0,10.0,10.0,7.83,83.67,0.11,0,0.0,green,2
315,Kenya,Other,sasini / kofinaf mills,taylor winch (coffee) ltd,meru county,NCHOROIBORO / KIRIANI FACTORY,200,60.0,Kenya Coffee Traders Association,Kennedy Macharia,SL28,Washed / Wet,8.08,7.67,7.67,7.58,7.25,7.67,10.0,10.0,10.0,7.75,83.67,0.11,0,0.0,blue-green,0
316,Honduras,los hicaques,cigrah s.a de c.v.,cigrah s.a de c.v,comayagua,Reinerio Zepeda,285,69.0,Instituto Hondureño del Café,Bismarck Castro,Caturra,Washed / Wet,7.5,7.5,7.67,7.67,8.0,8.0,10.0,10.0,10.0,7.33,83.67,0.1,0,0.0,green,2
317,Nicaragua,santa matilde,dry mill,"comercial internacional exportadora, s.a.",jinotega,RONALDO LACAYO CARDENAL,275,69.0,Instituto Hondureño del Café,"COMERCIAL INTERNACIONAL EXPORTADORA, S.A.",Caturra,Washed / Wet,7.67,7.75,7.67,7.67,7.83,7.58,10.0,10.0,10.0,7.5,83.67,0.1,0,0.0,green,3
318,Brazil,capoeirinha,dry mill,ipanema coffees,south of minas,Ipanema Agricola,320,60.0,Brazil Specialty Coffee Association,Ipanema Coffees,Bourbon,Natural / Dry,7.58,7.75,7.58,7.75,7.58,7.58,10.0,10.0,10.0,7.83,83.67,0.11,0,2.0,green,3
319,Taiwan,tsoustructive garden 鄒築園,tsoustructive garden 鄒築園,taiwan coffee laboratory,"leye, alishan township, chiayi county","FANG,ZHENG-LUN 方政倫",20,50.0,Specialty Coffee Association,"Lin, Che-Hao Krude 林哲豪",Caturra,Natural / Dry,7.5,7.67,7.33,7.92,7.83,7.67,10.0,10.0,10.0,7.75,83.67,0.1,0,0.0,blue-green,0
320,Costa Rica,Other,cafex,"ceca,s.a.",west valley,Other,275,69.0,Specialty Coffee Association of Costa Rica,"CECA, S.A.",Other,Other,7.33,7.67,7.67,7.5,7.67,7.5,10.0,10.0,10.0,8.33,83.67,0.11,0,0.0,blue-green,1
321,Thailand,Other,Other,doi tung development project,thailand,Doi Tung Development Project,1,1.0,Specialty Coffee Association,Doi Tung Development Project,Other,Washed / Wet,7.5,7.75,7.58,7.83,7.67,7.58,10.0,10.0,10.0,7.75,83.67,0.12,0,0.0,blue-green,0
322,Colombia,Other,Other,olam specialty coffee,huila,Agrotello Coop,100,0.907184,Specialty Coffee Association,Rob Stephen,Caturra,Washed / Wet,7.5,7.75,7.5,7.75,7.67,7.67,10.0,10.0,10.0,7.83,83.67,0.11,0,0.0,other,4
323,Guatemala,finca las cuevitas,beneficio exportacafe agua santa,exportcafe,huehuetenango,FRANCISCO LUIS MARTINEZ LOPEZ,275,69.0,Asociacion Nacional Del Café,Juan Luis Alvarado Romero,Bourbon,Washed / Wet,8.0,7.5,7.33,8.0,8.0,8.0,9.33,10.0,10.0,7.5,83.67,0.1,0,0.0,green,0
324,Colombia,various,trilladora boananza,exportadora de cafe condor s.a,huila supremo,Other,250,70.0,Almacafé,Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.83,7.75,7.67,7.58,7.58,7.67,10.0,10.0,10.0,7.58,83.67,0.11,0,0.0,green,3
325,Colombia,Other,Other,racafe & cia s.c.a,huila,Huila,250,70.0,Almacafé,Racafe & Cia S.C.A,Caturra,Washed / Wet,7.67,7.67,7.67,7.67,7.33,7.75,10.0,10.0,10.0,7.92,83.67,0.11,0,0.0,green,1
326,Guatemala,la union monte verde,beneficio ixchel,"unex guatemala, s.a.",oriente,"AGRICOLA MONTE VERDE, S.A.",250,69.0,Asociacion Nacional Del Café,Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.67,7.67,7.42,7.67,8.0,7.75,10.0,10.0,10.0,7.5,83.67,0.12,1,0.0,green,3
327,Guatemala,el sacramento,beneficio ixchel,"unex guatemala, s.a.",oriente,LUIS RODRIGUEZ,250,69.0,Asociacion Nacional Del Café,Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.83,7.67,7.33,7.67,7.67,7.83,10.0,10.0,10.0,7.67,83.67,0.11,0,0.0,green,2
328,Colombia,Other,trilladora boananza,exportadora de cafe condor s.a,huila,Other,250,70.0,Almacafé,Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.75,7.75,7.58,7.83,7.17,7.75,10.0,10.0,10.0,7.83,83.67,0.11,0,0.0,green,1
329,Guatemala,finca quequesquez,finca quequesquez,the coffee source inc.,oriente,Finca Quequesquez,250,1.0,Specialty Coffee Association,The Coffee Source Inc.,Caturra,Natural / Dry,8.17,8.17,7.83,7.67,8.08,7.75,9.33,9.33,9.33,8.0,83.67,0.11,0,0.0,green,1
330,Guatemala,agropecuaria quiagral,beneficio ixchel,"unex guatemala, s.a.",oriente,AGROPECUARIA QUIAGRAL,250,1.0,Asociacion Nacional Del Café,Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.67,8.17,7.5,7.42,7.58,7.83,10.0,10.0,10.0,7.5,83.67,0.11,0,0.0,green,13
331,Mexico,finca apoxtla,xicotepec de juarez,Other,xicotepec de juarez,JUAN LUIS ORTEGA CARBALLO,48,1.0,AMECAFE,JUAN LUIS ORTEGA CARBALLO,Typica,Washed / Wet,7.67,7.5,7.5,7.33,7.83,8.25,10.0,10.0,10.0,7.58,83.67,0.12,4,0.0,green,11
332,Indonesia,"ijen highland, east java",pt. perkebunan nusantara xii,scai,east java,PT. Perkebunan Nusantara XII,10,60.0,Specialty Coffee Association of Indonesia,EKAI International Company Ltd.,Typica,Washed / Wet,8.17,7.67,7.58,7.58,7.42,7.67,10.0,10.0,10.0,7.58,83.67,0.12,0,0.0,green,0
333,Guatemala,finca medina,beneficio 2000,"siembras vision, s.a.","sacatepequez, guatemala","SIEMBRAS VISION, S.A",250,69.0,Asociacion Nacional Del Café,Juan Luis Alvarado Romero,Caturra,Washed / Wet,7.67,7.5,7.33,8.0,7.67,7.67,10.0,10.0,10.0,7.83,83.67,0.1,0,0.0,green,0
334,United States (Hawaii),Other,Other,Other,Other,Other,3,45.3592,Specialty Coffee Association,Kona Pacific Farmers Cooperative,Other,Other,7.75,8.0,7.92,8.08,7.75,8.0,9.33,9.33,9.33,8.17,83.67,0.11,0,0.0,other,0
335,Brazil,fazenda capoeirnha,dry mill,ipanema coffees,south of minas,Ipanema Agricola S.A,320,60.0,Brazil Specialty Coffee Association,Ipanema Coffees,Bourbon,Natural / Dry,7.58,7.67,7.58,7.58,7.67,7.58,10.0,10.0,10.0,7.92,83.58,0.11,0,0.0,green,5
336,Guatemala,finca santa clara,beneficio exportacafe agua santa,exportcafe,huehuetenango,JUAN RAMIREZ MORALES,275,69.0,Asociacion Nacional Del Café,Juan Luis Alvarado Romero,Caturra,Washed / Wet,7.75,7.75,7.5,7.83,7.58,7.58,10.0,10.0,10.0,7.58,83.58,0.11,0,1.0,green,0
337,Colombia,Other,bachue,racafe & cia s.c.a,huila,La Plata,275,70.0,Almacafé,Racafe & Cia S.C.A,Caturra,Washed / Wet,7.75,7.75,7.58,7.58,7.67,7.58,10.0,10.0,10.0,7.67,83.58,0.11,0,0.0,green,4
338,China,menglian mang pan professional cooperative,menglian mang pan professional cooperative,yunnan coffee exchange,yunnan,Menglian Mang Pan Professional Cooperative,3,60.0,Yunnan Coffee Exchange,Yunnan Coffee Exchange,Catimor,Washed / Wet,7.67,7.58,7.58,7.58,7.67,7.75,10.0,10.0,10.0,7.75,83.58,0.1,0,1.0,green,4
339,Colombia,Other,Other,racafe & cia s.c.a,huila,La Plata,275,70.0,Almacafé,Racafe & Cia S.C.A,Caturra,Washed / Wet,7.67,7.75,7.58,7.67,7.75,7.58,10.0,10.0,10.0,7.58,83.58,0.12,0,0.0,green,3
340,Mexico,exportadora café california,exportadora café california,exportadora café california,"chiapas, jaltenango",Exportadora Café California,275,2.0,Asociación Mexicana De Cafés y Cafeterías De Especialidad A.C.,ANDREAS KUSSMAUL,Caturra,Washed / Wet,7.75,7.75,7.58,7.58,7.5,7.67,10.0,10.0,10.0,7.75,83.58,0.12,1,0.0,green,13
341,Ethiopia,lomi tasha,worka,essence coffee,yirgacheffe,LevelUp,250,60.0,Blossom Valley International,EssenceCoffee,Other,Washed / Wet,7.75,7.67,7.58,7.67,7.5,7.67,10.0,10.0,10.0,7.75,83.58,0.11,0,0.0,other,7
342,Uganda,bulamburi coffee farmers,bulamburi coffee farmers,bulamburi coffee farmers association,eastern,Bulamburi coffee farmers association,100,60.0,Uganda Coffee Development Authority,Bulamburi coffee farmers association,SL14,Washed / Wet,7.67,7.67,7.42,7.75,7.75,7.67,10.0,10.0,10.0,7.67,83.58,0.12,0,0.0,green,5
343,Colombia,Other,trilladora boananza,ecom cca sa,cundinamarca,Other,250,70.0,Almacafé,Compañia Colombiana Agroindustrial S.A,Caturra,Natural / Dry,7.67,7.58,7.67,7.67,7.67,7.67,10.0,10.0,10.0,7.67,83.58,0.11,0,0.0,green,0
344,Colombia,Other,trilladora agricola,ecom cca sa,santander,Other,250,70.0,Almacafé,Compañia Colombiana Agroindustrial S.A,Caturra,Washed / Wet,7.67,7.58,7.67,7.58,7.67,7.75,10.0,10.0,10.0,7.67,83.58,0.12,0,0.0,green,1
345,Colombia,Other,trilladora agricola,ecom cca sa,santander,Other,250,70.0,Almacafé,Compañia Colombiana Agroindustrial S.A,Caturra,Washed / Wet,7.75,7.58,7.5,7.58,7.75,7.83,10.0,10.0,10.0,7.58,83.58,0.11,0,0.0,other,0
346,Taiwan,dragon coffee 龍咖啡,dragon coffee 龍咖啡,blossom valley宸嶧國際,taichung xinshe 台中市新社區,Gu zhi min 古智閔,10,30.0,Blossom Valley International,CQI Taiwan ICP CQI台灣合作夥伴,Typica,Other,7.75,7.75,7.75,7.75,7.5,7.58,10.0,10.0,10.0,7.5,83.58,0.11,0,0.0,green,0
347,Colombia,Other,Other,c.i.racafe & cia s.c.a,huila,LA PLATA,275,70.0,Almacafé,Racafe & Cia S.C.A,Caturra,Washed / Wet,7.67,7.67,7.58,7.67,7.75,7.58,10.0,10.0,10.0,7.67,83.58,0.11,0,0.0,green,3
348,Mexico,ojo de agua,agroindustrias unidas de mexico,ecomtrading,xalapa,JULIAN ALBERTO URRUTIA MOYA,250,1.0,AMECAFE,ALFREDO BOJALIL,Typica,Washed / Wet,7.83,7.67,7.58,7.58,7.67,7.58,10.0,10.0,10.0,7.67,83.58,0.12,0,0.0,other,2
349,Colombia,Other,Other,carcafe ltda,cundinamarca,ORLANDO ORTIZ/WILSON SANCHEZ/GILBERTO ACOSTA,250,70.0,Almacafé,CARCAFE LTDA CI,Caturra,Natural / Dry,7.67,7.58,7.58,7.58,7.67,7.75,10.0,10.0,10.0,7.75,83.58,0.11,0,0.0,green,4
350,Brazil,fazenda jericó,Other,nucoffee,south of minas,Alvaro Resende Aguiar,33,60.0,NUCOFFEE,NUCOFFEE,Catuai,Semi-washed / Semi-pulped,7.83,7.75,7.5,7.75,7.5,7.58,10.0,10.0,10.0,7.67,83.58,0.12,0,0.0,blue-green,2
351,Colombia,Other,bogota,carcafe ltda,cundinamarca,Orlando Moreno / Willson Sanchez,50,70.0,Almacafé,CARCAFE LTDA CI,Caturra,Washed / Wet,7.75,7.58,7.58,7.75,7.75,7.5,10.0,10.0,10.0,7.58,83.5,0.11,0,0.0,blue-green,5
352,Taiwan,南投縣魚池鄉水社村中正路63-1號,黑咖啡道咖啡,宸嶧國際,Other,黑咖啡道王憲備0912326001        ,1,10.0,Blossom Valley International,CQI Taiwan ICP CQI台灣合作夥伴,Other,Other,7.58,7.58,7.17,7.17,7.0,7.0,10.0,10.0,10.0,10.0,83.5,0.11,0,0.0,blue-green,0
353,Costa Rica,Other,beneficio montañas del diamante,"ceca,s.a.",tarrazu,Martin Gutierrez,245,69.0,Specialty Coffee Association of Costa Rica,"CECA, S.A.",Caturra,Washed / Wet,7.92,7.42,7.5,7.67,7.5,7.67,10.0,10.0,10.0,7.83,83.5,0.11,0,0.0,blue-green,0
354,Colombia,Other,neiva,carcafe ltda,pitalito,Mecias Urbano / Yaniver Alvarez,250,70.0,Almacafé,CARCAFE LTDA CI,Caturra,Natural / Dry,7.75,7.58,7.58,7.5,7.75,7.75,10.0,10.0,10.0,7.58,83.5,0.11,0,0.0,green,0
355,Guatemala,la esperanza,beneficio ixchel,"unex guatemala, s.a.",oriente,MARGARITA AVILA DE NUYENS,250,69.0,Asociacion Nacional Del Café,Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.67,7.75,7.5,7.83,7.58,7.58,10.0,10.0,10.0,7.58,83.5,0.1,0,2.0,blue-green,5
356,Colombia,Other,Other,racafe & cia s.c.a,huila,La Plata,180,70.0,Almacafé,Racafe & Cia S.C.A,Caturra,Washed / Wet,7.58,7.58,7.58,7.58,7.75,7.67,10.0,10.0,10.0,7.75,83.5,0.12,0,0.0,green,4
357,"Tanzania, United Republic Of",ano family,arusha,tawoca,nkure- meru,Mr & Mrs Damari Absalome,5,60.0,Africa Fine Coffee Association,Damari Absalome,Other,Washed / Wet,7.75,7.67,7.58,7.67,7.67,7.58,10.0,10.0,10.0,7.58,83.5,0.13,0,0.0,green,21
358,Indonesia,yusrin,olam,pt. olam indonesia,bener meriah,Yusrin,200,30.0,Specialty Coffee Association,Aulia Arif Syahri,Other,Semi-washed / Semi-pulped,7.25,7.67,7.58,7.92,7.83,7.58,10.0,10.0,10.0,7.67,83.5,0.13,0,0.0,blue-green,8
359,Ethiopia,Other,Other,debesa agro industry plc,oromia,Debesa,320,60.0,METAD Agricultural Development plc,Debesa Agro Industry Plc,Other,Natural / Dry,7.67,7.75,7.5,7.58,7.75,7.67,10.0,10.0,10.0,7.58,83.5,0.1,1,0.0,other,18
360,Colombia,Other,Other,federacion nacional de cafeteros,huila,Other,275,2.0,Almacafé,Federacion Nacional de Cafeteros,Other,Washed / Wet,7.67,7.42,7.67,7.83,7.58,7.67,10.0,10.0,10.0,7.67,83.5,0.11,1,0.0,other,0
361,Colombia,Other,bonanza - armenia,exportadora de cafe condor s.a,huila,Other,275,70.0,Almacafé,Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,8.0,7.58,7.25,7.58,7.92,7.58,10.0,10.0,10.0,7.58,83.5,0.11,0,0.0,green,0
362,Guatemala,several,ixchel,the coffee source inc.,atitlan,UNEX,250,1.0,Specialty Coffee Association of Costa Rica,The Coffee Source Inc.,Caturra,Washed / Wet,7.58,7.75,7.5,7.83,7.42,7.67,10.0,10.0,10.0,7.75,83.5,0.1,0,0.0,green,0
363,Colombia,Other,trilladora boananza,ecom cca sa,cundinamarca,Other,250,70.0,Almacafé,Compañia Colombiana Agroindustrial S.A,Caturra,Washed / Wet,7.75,7.58,7.33,7.5,7.83,7.83,10.0,10.0,10.0,7.67,83.5,0.11,2,0.0,other,0
364,Honduras,los hicaques,cigrah sps,cigrah,comayagua,Reynerio Zepeda,275,1.0,Instituto Hondureño del Café,Other,Caturra,Natural / Dry,7.67,7.5,7.67,7.5,7.67,7.67,10.0,10.0,10.0,7.83,83.5,0.1,0,0.0,green,3
365,Colombia,Other,trilladora boananza,exportadora de cafe condor s.a,huila,Other,250,70.0,Almacafé,Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.58,7.75,7.42,7.67,7.75,7.67,10.0,10.0,10.0,7.67,83.5,0.11,1,0.0,green,1
366,Colombia,Other,trilladora boananza,exportadora de cafe condor s.a,huila,Other,250,70.0,Almacafé,Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.58,7.67,7.58,7.75,7.58,7.75,10.0,10.0,10.0,7.58,83.5,0.11,0,0.0,green,2
367,Mexico,finca los barreales 1112lban,finca los barreales,finca los barreales,xalapa,MANUEL HERRERA JUAREZ,10,1.0,AMECAFE,MANUEL HERRERA JUAREZ,Bourbon,Natural / Dry,7.83,7.58,7.25,7.5,7.5,7.42,10.0,10.0,10.0,8.42,83.5,0.13,0,0.0,green,14
368,Mexico,Other,"comunidad de sacún palma, municipio de chilón, chiapas",estrategias constructivas corzu s.a. de c.v.,chilón,ARMANDO GUTIERREZ GUZMAN,10,1.0,AMECAFE,MIGUEL CORTES MORENO,Typica,Semi-washed / Semi-pulped,7.67,7.75,7.67,7.75,7.58,7.5,10.0,10.0,10.0,7.58,83.5,0.11,0,0.0,green,12
369,Mexico,la corralera,dos puentes de finca kassandra,Other,totutla,GABRIEL BERNARD RIVAS ROSS,15,1.0,AMECAFE,GABRIEL BERNARDO RIVAS ROSS,Pacamara,Washed / Wet,7.75,7.67,7.67,7.75,7.33,7.5,10.0,10.0,10.0,7.83,83.5,0.12,0,0.0,green,0
370,Guatemala,santo tomas pachuj,"palinsa, beneficiado seco / santo tomas pachuj, beneficiado humedo",kanematsu corporation / rnp santo tomas pachuj,atitlan,RNP SANTO TOMAS PACHUJ / KANEMATSU CORPORATION,275,69.0,Asociacion Nacional Del Café,Juan Luis Alvarado Romero,Caturra,Washed / Wet,7.83,7.5,7.5,8.0,7.67,7.5,10.0,10.0,10.0,7.5,83.5,0.1,0,0.0,green,5
371,Colombia,Other,Other,c.i.racafe & cia s.c.a,huila,La Plata,175,70.0,Almacafé,Racafe & Cia S.C.A,Caturra,Washed / Wet,7.67,7.58,7.58,7.67,7.67,7.67,10.0,10.0,10.0,7.67,83.5,0.11,0,0.0,green,0
372,Guatemala,conquista / morito,beneficio ixchel,coffee resources inc.,oriente,ConquistaMorito,250,2.0,Specialty Coffee Association,Felipe Isaza,Bourbon,Washed / Wet,7.5,7.5,7.75,7.5,8.0,7.67,10.0,10.0,10.0,7.58,83.5,0.11,3,0.0,green,12
373,United States (Hawaii),Other,Other,Other,Other,Other,14,45.3592,Specialty Coffee Association,Kona Pacific Farmers Cooperative,Other,Other,7.5,7.67,7.58,7.92,7.58,7.67,10.0,10.0,10.0,7.58,83.5,0.11,0,0.0,other,0
374,Indonesia,pancoer angkrek,pt. perkebunan nusantara xii,Other,bondowoso,PT. PERKEBUNAN NUSANTARA XII,10,60.0,Specialty Coffee Association of Indonesia,Specialty Coffee Association of Indonesia,Other,Other,7.83,7.58,7.58,7.58,7.75,7.58,10.0,10.0,10.0,7.58,83.5,0.11,0,0.0,other,0
375,Colombia,Other,neiva,carcafe ltda,huila,FRANKLIN DUSSAN / HIPOLITO TORRES,300,29.0,Almacafé,CARCAFE LTDA CI,Caturra,Washed / Wet,7.5,7.58,7.58,7.5,7.75,7.83,10.0,10.0,10.0,7.67,83.42,0.11,0,2.0,green,1
376,Guatemala,piamonte,beneficio ixchel,"unex guatemala, s.a.",san marcos,JORGE LEAL,50,69.0,Asociacion Nacional Del Café,Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.67,7.75,7.5,7.58,7.58,7.67,10.0,10.0,10.0,7.67,83.42,0.1,0,0.0,green,3
377,Colombia,Other,cartago,carcafe ltda,huila,FRANKLIN DUSSAN / HIPOLOTO TORRES,600,29.0,Almacafé,CARCAFE LTDA CI,Caturra,Washed / Wet,7.67,7.67,7.5,7.67,7.67,7.58,10.0,10.0,10.0,7.67,83.42,0.11,0,0.0,green,2
378,Costa Rica,gamboa,beneficio montañas del diamante,"ceca,s.a.",tarrazu,Martin Gutierrez,275,69.0,Specialty Coffee Association of Costa Rica,"CECA, S.A.",Caturra,Washed / Wet,7.58,7.5,7.42,7.92,7.5,7.67,10.0,10.0,10.0,7.83,83.42,0.09,0,0.0,blue-green,4
379,Taiwan,日月潭文武莊園,南投縣埔里鎮蜈蚣里,宸嶧國際,Other,黃素貞0939227229,1,10.0,Blossom Valley International,CQI Taiwan ICP CQI台灣合作夥伴,Other,Other,7.67,7.67,7.0,7.08,7.0,7.0,10.0,10.0,10.0,10.0,83.42,0.11,0,0.0,blue-green,0
380,Uganda,bulago & buginyanya,bcu,bugisu cooperative union,eastern,Bulago & Buginyanya,20,1218.0,Uganda Coffee Development Authority,Bugisu Cooperative Union,SL14,Washed / Wet,7.58,7.75,7.33,7.75,7.67,7.58,10.0,10.0,10.0,7.75,83.42,0.11,0,0.0,green,1
381,Thailand,matsuzawa coffee,matsuzawa coffee,matsuzawa coffee,thailand,Matsuzawa Coffee,500,25.0,Specialty Coffee Institute of Asia,松澤宏樹 Koju Matsuzawa,Catimor,Washed / Wet,7.5,7.58,7.75,7.5,7.75,7.67,10.0,10.0,10.0,7.67,83.42,0.13,0,0.0,blue-green,0
382,El Salvador,la joya,el borbollon,consejo salvadoreño del café,apaneca,"Ibero El Salvador, S.A. de C.V.",275,69.0,Salvadoran Coffee Council,Consejo Salvadoreño del Café,Bourbon,Washed / Wet,7.58,7.5,7.75,7.58,7.75,7.67,10.0,10.0,10.0,7.58,83.42,0.11,0,0.0,other,0
